,Unnamed: 0,País,Latitud,Longitud
0,0,Antigua and Barbuda,17.2234721,-61.9554608
1,1,Argentina,-34.9964963,-64.9672817
2,2,Bolivia,-17.0568696,-64.9912286
3,3,Brazil,-10.3333333,-53.2
4,4,Belize,16.8259793,-88.7600927
5,5,Bahamas,24.7736546,-78.0000547
6,6,Barbados,13.1500331,-59.5250305
7,7,Chile,-31.7613365,-71.3187697
8,8,Colombia,4.099917,-72.9088133
9,9,Costa Rica,10.2735633,-84.0739102
10,10,Cuba,23.0131338,-80.8328748
11,11,Dominican Republic,19.0974031,-70.3028026
12,12,Dominica,19.0974031,-70.3028026
13,13,Ecuador,-1.3397668,-79.3666965
14,14,El Salvador,13.8000382,-88.9140683
15,15,Grenada,12.1360374,-61.6904045
16,16,Guatemala,15.5855545,-90.345759
17,17,Guyana,4.8417097,-58.6416891
18,18,Haiti,19.1399952,-72.3570972
19,19,Honduras,15.2572432,-86.0755145
20,20,Jamaica,18.1850507,-77.3947693
21,21,Mexico,23.6585116,-102.0077097
22,22,Nicaragua,12.6090157,-85.2936911
23,23,Panama,8.559559,-81.1308434
24,24,Paraguay,-23.3165935,-58.1693445
25,25,Peru,-6.8699697,-75.0458515
26,26,Puerto Rico,18.2247706,-66.4858295
27,27,Suriname,4.1413025,-56.0771187
28,28,St. Kitts and Nevis,17.250512,-62.6725973
29,29,St. Lucia,13.90904385,-60.97792414113452
30,30,St. Vincent and the Grenadines,12.90447,-61.2765569
31,31,Trinidad and Tobago,10.7466905,-61.0840075
32,32,Uruguay,-32.8755548,-56.0201525
33,33,Venezuela,8.0018709,-66.1109318
