,country,date,"GNI per capita, Atlas method (current US$)","Fertility rate, total (births per woman)","Life expectancy at birth, total (years)","Mortality rate, under-5 (per 1,000 live births)","Unemployment, total (% of total labor force) (modeled ILO estimate)"
0,Argentina,2021,9960.0,1.885,75.39,6.9,8.74
1,Argentina,2020,9010.0,1.911,75.892,7.7,11.46
2,Argentina,2019,11220.0,1.994,77.284,8.6,9.84
3,Argentina,2018,12430.0,2.039,76.999,9.5,9.22
4,Argentina,2017,13140.0,2.168,76.833,10.3,8.35
5,Argentina,2016,12220.0,2.241,76.308,11.0,8.109
6,Argentina,2015,12600.0,2.301,76.76,11.6,7.524
7,Argentina,2014,12350.0,2.312,76.755,12.2,7.27
8,Argentina,2013,12870.0,2.322,76.491,12.7,7.1
9,Argentina,2012,11890.0,2.33,76.467,13.3,7.22
10,Argentina,2011,10710.0,2.338,76.124,13.9,7.18
11,Argentina,2010,9270.0,2.346,75.721,14.5,7.71
12,Argentina,2009,7760.0,2.344,75.936,15.0,8.65
13,Argentina,2008,7630.0,2.341,75.641,15.4,7.84
14,Argentina,2007,6480.0,2.37,75.006,15.7,8.47
15,Argentina,2006,5460.0,2.4,75.433,16.1,10.08
16,Argentina,2005,4240.0,2.426,75.139,16.6,11.51
17,Argentina,2004,3360.0,2.43,74.855,17.1,13.52
18,Argentina,2003,3640.0,2.451,74.08,17.7,15.36
19,Argentina,2002,4020.0,2.493,74.408,18.3,19.59
20,Argentina,2001,6960.0,2.531,74.186,19.0,17.32
21,Argentina,2000,7430.0,2.591,73.926,19.7,15.0
22,Argentina,1999,7540.0,2.643,73.722,20.4,14.05
23,Argentina,1998,7990.0,2.662,73.474,21.3,12.65
24,Argentina,1997,8110.0,2.706,73.09,22.2,14.82
25,Argentina,1996,7700.0,2.781,73.307,23.2,17.11
26,Argentina,1995,7340.0,2.864,73.133,24.3,18.8
27,Argentina,1994,7600.0,2.935,73.172,25.4,11.76
28,Argentina,1993,7110.0,2.966,72.565,26.5,10.1
29,Argentina,1992,6060.0,2.987,72.43,27.6,6.36
30,Argentina,1991,3860.0,3.012,72.319,28.3,5.44
31,Argentina,1990,3180.0,3.034,71.784,28.8,
32,Antigua and Barbuda,2021,15780.0,1.58,78.497,6.1,
33,Antigua and Barbuda,2020,14530.0,1.569,78.841,6.4,
34,Antigua and Barbuda,2019,17310.0,1.468,78.691,6.6,
35,Antigua and Barbuda,2018,16680.0,1.371,78.511,6.8,
36,Antigua and Barbuda,2017,15000.0,1.485,78.268,7.1,
37,Antigua and Barbuda,2016,14170.0,1.458,78.152,7.4,
38,Antigua and Barbuda,2015,13370.0,1.567,77.913,7.7,
39,Antigua and Barbuda,2014,13230.0,1.526,77.858,8.1,
40,Antigua and Barbuda,2013,13040.0,1.537,77.583,8.6,
41,Antigua and Barbuda,2012,13180.0,1.655,77.35,9.0,
42,Antigua and Barbuda,2011,12730.0,1.746,77.104,9.5,
43,Antigua and Barbuda,2010,13030.0,1.785,76.82,10.1,
44,Antigua and Barbuda,2009,13960.0,2.006,76.669,10.6,
45,Antigua and Barbuda,2008,15650.0,2.042,76.41,11.2,
46,Antigua and Barbuda,2007,15460.0,1.86,76.131,11.7,
47,Antigua and Barbuda,2006,14120.0,1.831,75.765,12.3,
48,Antigua and Barbuda,2005,12670.0,1.832,75.825,12.9,
49,Antigua and Barbuda,2004,11650.0,1.852,75.672,13.5,
50,Antigua and Barbuda,2003,10700.0,1.887,75.478,14.1,
51,Antigua and Barbuda,2002,9800.0,1.94,75.536,14.7,
52,Antigua and Barbuda,2001,9980.0,2.018,75.078,15.1,
53,Antigua and Barbuda,2000,10220.0,2.196,74.606,15.5,
54,Antigua and Barbuda,1999,9720.0,1.956,74.347,15.8,
55,Antigua and Barbuda,1998,9360.0,2.017,74.041,16.0,
56,Antigua and Barbuda,1997,9140.0,2.19,73.96,16.1,
57,Antigua and Barbuda,1996,8750.0,2.266,73.829,16.0,
58,Antigua and Barbuda,1995,8170.0,2.159,73.636,15.7,
59,Antigua and Barbuda,1994,8470.0,2.069,73.591,15.5,
60,Antigua and Barbuda,1993,7950.0,2.036,73.482,15.1,
61,Antigua and Barbuda,1992,7440.0,2.126,73.417,14.7,
62,Antigua and Barbuda,1991,7200.0,2.036,73.435,14.4,
63,Antigua and Barbuda,1990,6730.0,2.249,73.492,14.1,
64,"Bahamas, The",2021,26490.0,1.389,71.598,13.2,11.665
65,"Bahamas, The",2020,23500.0,1.394,72.677,13.3,12.867
66,"Bahamas, The",2019,31210.0,1.398,71.205,23.4,10.051
67,"Bahamas, The",2018,29810.0,1.412,73.806,13.5,10.0
68,"Bahamas, The",2017,29260.0,1.426,73.632,13.6,9.8
69,"Bahamas, The",2016,27610.0,1.496,73.537,13.8,12.7
70,"Bahamas, The",2015,27450.0,1.576,73.104,13.9,12.0
71,"Bahamas, The",2014,26840.0,1.673,73.366,14.1,13.8
72,"Bahamas, The",2013,26280.0,1.51,73.024,14.4,16.18
73,"Bahamas, The",2012,27200.0,1.744,72.753,14.7,14.02
74,"Bahamas, The",2011,26540.0,1.739,72.564,15.1,14.52
75,"Bahamas, The",2010,26900.0,1.835,72.731,15.4,14.321
76,"Bahamas, The",2009,27530.0,2.009,72.579,15.8,14.25
77,"Bahamas, The",2008,29270.0,1.99,72.667,16.2,8.18
78,"Bahamas, The",2007,29330.0,1.852,72.678,16.5,7.88
79,"Bahamas, The",2006,28870.0,1.786,72.855,16.8,7.54
80,"Bahamas, The",2005,28560.0,2.05,72.765,16.9,10.2
81,"Bahamas, The",2004,27200.0,1.932,72.478,16.9,10.2
82,"Bahamas, The",2003,25680.0,1.921,72.402,16.8,10.84
83,"Bahamas, The",2002,25040.0,1.998,72.232,16.6,9.05
84,"Bahamas, The",2001,24390.0,2.088,72.11,16.4,6.87
85,"Bahamas, The",2000,24170.0,2.097,72.041,16.3,7.196
86,"Bahamas, The",1999,22170.0,2.133,71.771,16.3,7.45
87,"Bahamas, The",1998,15490.0,2.335,71.456,16.6,7.65
88,"Bahamas, The",1997,14070.0,2.399,71.054,17.0,9.76
89,"Bahamas, The",1996,14840.0,2.36,70.71,17.7,11.46
90,"Bahamas, The",1995,13340.0,2.504,70.763,18.5,10.83
91,"Bahamas, The",1994,10880.0,2.482,70.851,19.4,13.83
92,"Bahamas, The",1993,10640.0,2.728,70.656,20.4,12.72
93,"Bahamas, The",1992,10900.0,2.793,70.668,21.4,14.81
94,"Bahamas, The",1991,10710.0,2.604,69.616,22.4,12.17
95,"Bahamas, The",1990,11230.0,2.527,70.133,23.5,
96,Belize,2021,6070.0,2.01,70.47,11.2,10.29
97,Belize,2020,5210.0,1.999,72.854,11.7,10.788
98,Belize,2019,5890.0,2.106,73.931,12.3,9.05
99,Belize,2018,5660.0,2.345,73.703,13.0,7.814
100,Belize,2017,5520.0,2.36,73.562,13.7,6.6
